# comment can be added by '#'
,en,zh-cn,zh-tw
en,English,English,English
zh-cn,简体中文,简体中文,简体中文
zh-tw,繁體中文,繁體中文,繁體中文
settings,Settings,设置,設置
system,System,系统,系統
theme,Theme,主题,主題
app color theme,App color theme,主题颜色,主題顏色
language,Language,语言,語言
app language,App language,软件语言,軟件語言
start on boot,Start on boot,开机启动,開機啟動
start app on boot,Start app on boot,开机启动软件,開機啟動軟件
minimize to tray,Minimize to tray,最小化到托盘,最小化到托盤
minimize app to tray when pressing exit button,Minimize app to tray when pressing exit button,按退出按钮时最小化到托盘,按退出按鈕時最小化到托盤
configuration updated successfully,Configuration updated successfully,配置更新成功,配置更新成功
configuration takes effect after restart,Configuration takes effect after restart,配置将在重启后生效,配置將在重啟後生效
on,On,开,開
off,Off,关,關
ok,OK,确定,確定
cancel,Cancel,取消,取消
new color,New color,新颜色,新顏色
old color,Current color,当前颜色,當前顏色
done,Done,完成,完成
choose folder,Choose folder,选择文件夹,選擇文件夾
home,Home,主页,主頁
setting,Setting,设置,設置
drop your file here!,Drop your file here!,将文件拖到此处,將文件拖到此處
component (light mode) color,UI Component (light mode) color,UI组件（浅色模式）颜色,UI組件（淺色模式）顏色
set the color of component when app is in light mode,Set the color of component when app is in light mode,设置当软件处于浅色模式时的UI组件颜色,設置當軟件處於淺色模式時的UI組件顏色
component (dark mode) color,UI Component (dark mode) color,UI组件（深色模式）颜色,UI組件（深色模式）顏色
set the color of component bar when app is in dark mode,Set the color of component bar when app is in dark mode,设置当软件处于深色模式时的UI组件颜色,設置當軟件處於深色模式時的UI組件顏色
drop files here to upload\, or click to select.,Drop files here to upload\, or click to select.,将文件拖到此处上传\, 或点击选择,將文件拖到此處上傳\, 或點擊選擇
select one or more files to open,Select one or more files to open,选择一个或多个文件以打开,選擇一個或多個文件以打開
file,File,文件,文件
upload list,Upload List,上传列表,上傳列表
upload,Upload,上传,上傳
delete,Delete,删除,刪除
pdf,PDF,PDF,PDF
video,Video,视频,視頻
audio,Audio,音频,音頻
other,Other,其他,其他
light,Light,浅色,淺色
dark,Dark,深色,深色
use system setting,Use system setting,使用系统设置,使用系統設置
groupinfo,Group Info,组员信息,組員信息
play,Play,播放,播放
song list,Song List,歌曲列表,歌曲列表
loading...,Loading...,加载中...,加載中...
(22-23cuhk) csci3280 group project - music player,(22-23cuhk) csci3280 group project - music player,(22-23cuhk) csci3280 group project - music player,(22-23cuhk) csci3280 group project - music player
player,Player,播放器,播放器
songlist,Songlist,歌曲列表,歌曲列表
doc,Doc,文档,文檔
txt,Txt,文本,文本
img,Img,图片,圖片
